Gene,Coef
WSB2,0
IL18R1,0.020573001
PARP4,0
CD58,0
MX2,0
PTPN12,0
CHMP4A,0
SHOC2,0
AKAP17A,0
MEF2A,0
SMNDC1,0
STK10,0
WNK1,0
CTBP1,0
RAB11FIP1,0
IGSF6,0.005319878
F5,0
POM121,-0.022956465
CFD,0
CRIP1,0
SOS2,0
GBP2,0
KIAA0232,0
WDR83OS,0
USP10,0
PARP8,0
TAP1,0
FKBP15,0.010074341
CTSH,0
IL4R,0
KAT2B,0
GIMAP4,-0.024486492
MT2A,0
NBEAL2,0
SP110,0
TXNL4A,0
EIF4EBP2,0
DOCK2,0
PLCG2,0
KDM7A,0
CLINT1,0
IQGAP2,0
VPS8,0
GNAQ,0.088347648
MAPKAPK2,0
PLAUR,0
ME2,0.001661508
DUSP6,0
IQSEC1,0
HIGD1A,0
GLIPR1,0
REEP5,0
ENTPD1,0
ITGAX,0
ATF4,0
B4GALT1,0
AP3D1,0
MSL3,0
ENTPD4,0
ARL6IP1,0
TMEM131,0.006356883
CD59,0
TLN1,0.022195339
HDAC4,0
BID,0
FFAR2,0
C1RL,0
PHF21A,0
LAP3,0
MYH9,0
SNRPD3,0
RARA,0
SLPI,0
TRIB1,0
RANBP9,0.015460434
NINJ2,0
MAST3,0
ID2,0
TANK,0
UBQLN2,0
PSMB8,-0.013402954
PPP3CB,0
NEDD9,0
APOBEC3G,0
DPEP2,0
ATXN1,0
JMJD6,0
MED13,0
FAM117A,0
LGALS8,0
ADAM19,0
TBL1X,0
LMNB1,0
SPTLC2,0.015249154
CTDNEP1,0
FAM89B,0
DIAPH1,0
VPS4B,0
EPS15,0
PRDX3,0
GLB1,0
PUM2,0
PSENEN,0
SYNE3,0
PHIP,0
IL10RA,0
NOSIP,-0.026040913
PTPN18,0
MAP4K4,0
CCNG1,0
ATP2A3,0
SUPT4H1,0
CARHSP1,0
FLNA,0
RALBP1,0
ADAM8,0
PTAFR,0
ARFGAP3,0
FURIN,0
GBP1,0
EIF3A,0
GUSB,0
PSEN1,0
USP34,0
CCNL1,0
CIDEB,0
MAP2K2,0
SUCLG1,0
BTG2,0
TNFAIP3,0
APOBR,0
UBE2L6,-0.004044481
